Dataset length,BSTInsertOpCount,BSTSearchOpCount,AVLInsertOpCount,AVLSearchOpCount

2227,26286,1,22090,5
2227,26286,3,22090,7
2227,26286,5,22090,13
2227,26286,3,22090,1
2227,26286,5,22090,15
2227,26286,5,22090,9
2227,26286,7,22090,3
2227,26286,9,22090,15
2227,26286,7,22090,5
2227,26286,9,22090,11
2227,26286,7,22090,11
2227,26286,5,22090,13
2227,26286,11,22090,7
2227,26286,7,22090,19
2227,26286,9,22090,19
2227,26286,9,22090,15
2227,26286,9,22090,3
2227,26286,11,22090,5
2227,26286,7,22090,15
2227,26286,7,22090,9
2227,26286,7,22090,17
2227,26286,9,22090,7
2227,26286,11,22090,19
2227,26286,13,22090,15
2227,26286,9,22090,9
2227,26286,11,22090,15
2227,26286,11,22090,13
2227,26286,13,22090,5
2227,26286,11,22090,11
2227,26286,9,22090,17
2227,26286,15,22090,17
2227,26286,11,22090,15
2227,26286,11,22090,17
2227,26286,11,22090,9
2227,26286,13,22090,19
2227,26286,15,22090,13
2227,26286,9,22090,13
2227,26286,9,22090,19
2227,26286,15,22090,19
2227,26286,9,22090,13
2227,26286,11,22090,17
2227,26286,17,22090,9
2227,26286,15,22090,9
2227,26286,15,22090,11
2227,26286,13,22090,17
2227,26286,17,22090,17
2227,26286,17,22090,7
2227,26286,11,22090,13
2227,26286,7,22090,21
2227,26286,13,22090,13
2227,26286,9,22090,13
2227,26286,13,22090,9
2227,26286,13,22090,15
2227,26286,11,22090,17
2227,26286,15,22090,17
2227,26286,17,22090,15
2227,26286,17,22090,15
2227,26286,15,22090,9
2227,26286,19,22090,11
2227,26286,13,22090,13
2227,26286,13,22090,15
2227,26286,13,22090,11
2227,26286,15,22090,9
2227,26286,15,22090,11
2227,26286,19,22090,15
2227,26286,17,22090,13
2227,26286,13,22090,11
2227,26286,17,22090,21
2227,26286,21,22090,7
2227,26286,13,22090,13
2227,26286,13,22090,11
2227,26286,11,22090,11
2227,26286,9,22090,15
2227,26286,11,22090,17
2227,26286,15,22090,19
2227,26286,19,22090,19
2227,26286,11,22090,19
2227,26286,17,22090,13
2227,26286,21,22090,21
2227,26286,15,22090,19
2227,26286,9,22090,17
2227,26286,17,22090,9
2227,26286,15,22090,21
2227,26286,17,22090,13
2227,26286,15,22090,13
2227,26286,13,22090,11
2227,26286,13,22090,13
2227,26286,13,22090,17
2227,26286,19,22090,7
2227,26286,15,22090,19
2227,26286,19,22090,15
2227,26286,17,22090,13
2227,26286,23,22090,11
2227,26286,19,22090,17
2227,26286,21,22090,11
2227,26286,19,22090,15
2227,26286,11,22090,23
2227,26286,13,22090,15
2227,26286,13,22090,17
2227,26286,15,22090,21
2227,26286,15,22090,21
2227,26286,21,22090,19
2227,26286,19,22090,11
2227,26286,15,22090,19
2227,26286,17,22090,17
2227,26286,23,22090,13
2227,26286,15,22090,15
2227,26286,19,22090,17
2227,26286,11,22090,11
2227,26286,21,22090,15
2227,26286,25,22090,19
2227,26286,19,22090,7
2227,26286,23,22090,19
2227,26286,17,22090,11
2227,26286,23,22090,15
2227,26286,13,22090,21
2227,26286,21,22090,13
2227,26286,15,22090,15
2227,26286,17,22090,21
2227,26286,11,22090,13
2227,26286,21,22090,19
2227,26286,23,22090,15
2227,26286,13,22090,19
2227,26286,15,22090,13
2227,26286,23,22090,19
2227,26286,17,22090,17
2227,26286,19,22090,21
2227,26286,17,22090,19
2227,26286,19,22090,21
2227,26286,17,22090,19
2227,26286,19,22090,13
2227,26286,11,22090,11
2227,26286,21,22090,19
2227,26286,17,22090,21
2227,26286,15,22090,15
2227,26286,23,22090,15
2227,26286,17,22090,13
2227,26286,13,22090,19
2227,26286,25,22090,17
2227,26286,25,22090,17
2227,26286,19,22090,17
2227,26286,15,22090,21
2227,26286,17,22090,7
2227,26286,15,22090,13
2227,26286,19,22090,19
2227,26286,23,22090,17
2227,26286,25,22090,17
2227,26286,21,22090,9
2227,26286,11,22090,17
2227,26286,17,22090,11
2227,26286,15,22090,21
2227,26286,27,22090,19
2227,26286,19,22090,17
2227,26286,11,22090,13
2227,26286,11,22090,15
2227,26286,21,22090,15
2227,26286,13,22090,17
2227,26286,23,22090,21
2227,26286,21,22090,11
2227,26286,17,22090,13
