Dataset length,BSTInsertOpCount,BSTSearchOpCount,AVLInsertOpCount,AVLSearchOpCount

593,5552,1,4743,3
593,5552,3,4743,7
593,5552,5,4743,15
593,5552,3,4743,1
593,5552,5,4743,13
593,5552,5,4743,9
593,5552,7,4743,5
593,5552,9,4743,15
593,5552,7,4743,7
593,5552,9,4743,11
593,5552,7,4743,9
593,5552,5,4743,13
593,5552,11,4743,9
593,5552,7,4743,15
593,5552,9,4743,15
593,5552,9,4743,13
593,5552,9,4743,3
593,5552,11,4743,5
593,5552,7,4743,13
593,5552,7,4743,9
593,5552,7,4743,17
593,5552,9,4743,7
593,5552,11,4743,15
593,5552,13,4743,15
593,5552,9,4743,11
593,5552,11,4743,13
593,5552,11,4743,15
593,5552,13,4743,11
593,5552,11,4743,11
593,5552,9,4743,15
593,5552,15,4743,15
593,5552,11,4743,13
593,5552,11,4743,17
593,5552,11,4743,7
593,5552,13,4743,17
593,5552,15,4743,11
593,5552,9,4743,11
593,5552,9,4743,17
593,5552,15,4743,17
593,5552,9,4743,13
593,5552,11,4743,15
593,5552,17,4743,9
593,5552,15,4743,9
593,5552,15,4743,9
593,5552,13,4743,15
593,5552,17,4743,17
593,5552,17,4743,13
593,5552,11,4743,15
593,5552,7,4743,15
593,5552,13,4743,11
593,5552,9,4743,15
593,5552,13,4743,11
593,5552,13,4743,11
593,5552,11,4743,9
593,5552,15,4743,17
593,5552,17,4743,17
593,5552,17,4743,15
593,5552,15,4743,7
593,5552,19,4743,11
593,5552,13,4743,13
593,5552,13,4743,17
593,5552,13,4743,13
593,5552,15,4743,7
593,5552,15,4743,15
593,5552,19,4743,15
593,5552,17,4743,13
593,5552,13,4743,11
593,5552,17,4743,17
593,5552,21,4743,7
593,5552,13,4743,11
593,5552,13,4743,11
593,5552,11,4743,11
593,5552,9,4743,13
593,5552,11,4743,13
593,5552,15,4743,19
593,5552,19,4743,19
593,5552,11,4743,17
593,5552,17,4743,11
593,5552,21,4743,15
593,5552,15,4743,17
593,5552,9,4743,17
593,5552,17,4743,7
593,5552,15,4743,17
593,5552,17,4743,9
593,5552,15,4743,11
593,5552,13,4743,13
593,5552,13,4743,11
593,5552,13,4743,15
593,5552,19,4743,5
593,5552,15,4743,15
593,5552,19,4743,15
593,5552,17,4743,13
593,5552,23,4743,11
593,5552,19,4743,13
593,5552,21,4743,11
593,5552,19,4743,15
593,5552,11,4743,17
593,5552,13,4743,15
593,5552,13,4743,19
593,5552,15,4743,13
593,5552,15,4743,15
593,5552,21,4743,15
593,5552,19,4743,9
593,5552,15,4743,19
593,5552,17,4743,15
593,5552,23,4743,15
593,5552,15,4743,13
593,5552,19,4743,17
593,5552,11,4743,13
593,5552,21,4743,11
593,5552,25,4743,15
593,5552,19,4743,9
593,5552,23,4743,15
593,5552,17,4743,11
593,5552,23,4743,15
593,5552,13,4743,17
593,5552,21,4743,13
593,5552,15,4743,15
593,5552,17,4743,17
593,5552,11,4743,9
593,5552,21,4743,15
593,5552,23,4743,13
593,5552,13,4743,11
593,5552,15,4743,15
593,5552,23,4743,15
593,5552,17,4743,9
593,5552,19,4743,15
593,5552,17,4743,17
593,5552,19,4743,13
593,5552,17,4743,15
593,5552,19,4743,13
593,5552,11,4743,11
593,5552,21,4743,13
593,5552,17,4743,17
593,5552,15,4743,17
593,5552,23,4743,15
593,5552,17,4743,13
593,5552,13,4743,15
593,5552,25,4743,17
593,5552,25,4743,15
593,5552,19,4743,15
593,5552,15,4743,17
593,5552,17,4743,5
593,5552,15,4743,13
593,5552,19,4743,15
593,5552,23,4743,17
593,5552,25,4743,17
593,5552,21,4743,19
593,5552,11,4743,17
593,5552,17,4743,13
593,5552,15,4743,19
593,5552,27,4743,17
593,5552,19,4743,11
593,5552,11,4743,13
593,5552,11,4743,15
593,5552,21,4743,17
593,5552,13,4743,15
593,5552,23,4743,15
593,5552,21,4743,9
593,5552,17,4743,13
