10,22,1,21,1,
10,22,9,21,7,
10,22,5,21,4,
297,2348,1,2058,1,
297,2348,29,2058,19,
297,2348,16,2058,13,
593,5552,1,4743,1,
593,5552,33,4743,21,
593,5552,19,4743,16,
947,9654,1,8206,1,
947,9654,37,8206,23,
947,9654,21,8206,17,
1243,10000,1,10000,1,
1243,13287,37,11245,23,
1243,13287,22,11245,18,
1647,10000,1,10000,1,
1647,18599,41,15602,25,
1647,18599,23,15602,18,
1943,10000,1,10000,1,
1943,22489,41,18890,25,
1943,22489,24,18890,19,
2227,10000,1,10000,1,
2227,26286,43,22090,25,
2227,26286,24,22090,19,
2543,10000,1,10000,1,
2543,30649,43,25721,27,
2543,30649,25,25721,20,
2976,10000,1,10000,1,
2976,36809,43,30780,27,
2976,36809,25,30780,20,
